product,volume,weight,weight_pc,fy
Alaska Bypass,1252.523,84421.719,1078.4213176125309,2023
Bound Printed Matter Flats,114867.897,152276.123,21.21060828683927,2023
Bound Printed Matter Parcels,226433.063,483228.376,34.14542873537863,2023
Media and Library Mail,92257.876,188476.886,32.68696730022269,2023
Total Package Services,434811.359,908403.104,33.42702384184954,2023
U.S. Postal Service,376074.513,63570.656,2.704598319854768,2023
"Free Mail - blind, handicapped & servicemen",19702.72,7555.315,6.135449318672751,2023
Total Market Dominant Mail,109450175.42131859,8903303.58797,1.3015315586216336,2023
MARKET DOMINANT SERVICES,None,None,None,2023
Ancillary Services,None,None,None,2023
Certified Mail,156069.566,,,2023
COD,282.874,,,2023
Insurance,7959.621,,,2023
Registered Mail,930.791,,,2023
Other Domestic Ancillary Services (note 2),143911.274,,,2023
Other Domestic NSA Ancillary Services (note 2),1944.348,,,2023
Total International Ancillary Services (note 2),794.0099999999999,,,2023
Special Services,None,None,None,2023
Money Orders,63337.551,,,2023
Total Market Dominant Service Transactions,375230.03500000003,None,,2023
COMPETITIVE PRODUCTS,None,None,None,2023
Total Priority Mail Express,24032.345,23994.446,15.974768005369429,2023
Total First-Class Package Service,1363415.26,533586.159,6.261759563993731,2023
Total Priority Mail,1057980.699,2799285.71,42.33401554710215,2023
Total Ground,4155186.1689999998,9207305.057,35.45373779183852,2023
Total Competitive International,150441.47634144928,215946.46108009946,22.966694167768136,2023
Total Competitive Mail,6751055.949341449,12780117.8330801,30.28887434257279,2023
TOTAL ALL MAIL,116201231.37066004,None,None,2023
